white_styrofoam_square_block_1,12,18,12,18,563,569,2799,2804,5141,5141,5952,5940,5946,5940,5946,5940,5946,5940,5946,5940
white_styrofoam_square_block_2,248.333,254.333,4762.33,4760.67,5946,5934,5946,5934,5946,5934,5946,5934,5946,5934,5946,5934,5946,5934,5946,5934
white_styrofoam_square_block_3,12,18,12,18,546,552,2818,2825,5131,5133,5958,5946,5952,5940,5952,5940,5952,5940,5952,5940
white_styrofoam_square_block_4,12,18,12,18,60,66,1353.6,1356,3355.2,3358.8,5296.8,5281.2,5964,5928,5964,5928,5964,5928,5964,5928
white_styrofoam_square_block_5,12,18,12,18,94.8,100.8,1554,1560,3565.2,3568.8,5449.2,5432.4,5964,5928,5964,5928,5964,5928,5964,5928
yogurt_container_with_beans_1,236.211,241.263,4742.84,4554.63,5904,5442,5904,5442,5904,5442,5904,5442,5904,5442,5898,5442,5898,5442,5898,5442
yogurt_container_with_beans_2,12,18,12,18,454,461,2645,2653,4864,4827,5823,5411,5899,5412,5898,5412,5898,5412,5898,5412
yogurt_container_with_beans_3,12,18,12,18,564,568,2806,2812,4985,4926,5850,5494,5904,5496,5904,5496,5904,5496,5904,5496
yogurt_container_with_beans_4,12,18,12,18,593,593,2847,2850,5023,4946,5856,5465,5898,5466,5898,5466,5898,5466,5898,5466
yogurt_container_with_beans_5,12,18,12,18,426,424,2607,2593,4849,4801,5842,5452,5910,5454,5910,5454,5910,5454,5910,5454
red_water_bottle_1,147.176,153.529,4397.29,4401.18,5988,5988,5988,5988,5988,5988,5988,5988,5988,5988,5988,5988,5988,5988,5988,5988
red_water_bottle_2,119.647,120,4284.71,4284,6006,6000,6006,6000,6006,6000,6006,6000,6006,6000,6006,6000,6006,6000,6006,6000
red_water_bottle_3,18,18,18,18,18,18,378,358.5,1854,1809,3435,3417,5044.5,5010,5974.5,5964,6006,6000,6006,6000
red_water_bottle_4,150,144,4393.76,4385.29,5988,5982.71,5988,5982,5988,5982,5988,5982,5988,5982,5988,5982,5988,5982,5988,5982
red_water_bottle_5,12,18,12,18,12,18,301.5,304.5,1728,1734,3328.5,3333,4939.5,4938,5947.5,5946,5994,5988,5994,5988
butter_container_with_coffee_1,12,18,12,18,484,490,2688,2694,4797,4739,5790,5266,5910,5268,5910,5268,5910,5268,5910,5268
butter_container_with_coffee_2,18,18,18,18,533,538,2768,2773,4835,4790,5815,5410,5922,5436,5922,5436,5922,5436,5922,5436
butter_container_with_coffee_3,18,18,18,18,641,640,2926,2927,4996,4915,5835,5442,5910,5448,5910,5448,5910,5448,5910,5448
butter_container_with_coffee_4,12,18,12,18,509,507,2727,2732,4832,4768,5782,5267,5908,5268,5904,5268,5904,5268,5904,5268
butter_container_with_coffee_5,12,18,12,18,675,681,2983,2988,5006,4924,5846,5412,5910,5424,5910,5424,5910,5424,5910,5424
